"",vertex,lng,lat,level
"",广州,113.2642217,23.15487207,火车站
"",广州北,113.2520257,23.16545078,火车站
"",韶关东,113.6105371,24.79983729,火车站
"",衡阳,112.6376771,26.89560986,火车站
"",株洲,113.1631632,27.84182344,火车站
"",娄底,112.0127991,27.74542182,火车站
"",益阳,112.3485683,28.54482074,火车站
"",常德,111.7015763,29.07802312,火车站
"",临澧,111.6153402,29.43953417,火车站
"",荆门,112.2181948,31.05729903,火车站
"",襄樊,112.1617884,32.06475226,火车站
"",谷城,111.6091207,32.27147755,火车站
"",十堰,110.7876385,32.60937257,火车站
"",白河东,110.1210202,32.81021843,火车站
"",安康,109.0238954,32.71832276,火车站
"",万源,108.0495149,32.08925118,火车站
"",宣汉,107.6657545,31.54847677,火车站
"",达州,107.4597362,31.20424759,火车站
"",万州,108.4066653,30.7601711,火车站
"",紫阳,108.5578073,32.53190086,火车站
"",白河县,109.918375,32.72986467,区县
"",湘潭,112.9194906,27.88144117,火车站
"",衡山,112.71963,27.28191238,区县
"",郴州,113.040095,25.81457245,火车站
"",坪石,113.0602965,25.29104733,火车站
"",合肥,117.3239996,31.89147004,火车站
"",合肥西,117.2229851,31.83986174,火车站
"",安庆西,116.8262565,30.76762723,火车站
"",黄梅,115.949087,30.09966601,火车站
"",九江,116.0122548,29.71077176,火车站
"",南昌,115.9250895,28.66837908,火车站
"",向塘,115.9678405,28.44875687,火车站
"",吉安,115.0274477,27.1110021,火车站
"",赣州,114.9708711,25.82554935,火车站
"",信丰,114.9135952,25.40378493,火车站
"",龙川,115.2439799,24.1182368,火车站
"",河源,114.6897542,23.76532048,火车站
"",惠州,114.4230201,23.15744099,火车站
"",东莞东,114.0473683,22.97337817,火车站
"",兴国,115.3254209,26.3362677,火车站
"",金华西,119.6419314,29.11651087,火车站
"",义乌,120.0498389,29.38409471,火车站
"",诸暨,120.1916369,29.73282732,火车站
"",杭州,120.1890139,30.24947338,火车站
"",德清,120.0675068,30.55034894,火车站
"",长兴,119.9806329,31.04751633,火车站
"",宣城,118.7805382,30.95313204,火车站
"",芜湖,118.3966804,31.35289811,火车站
"",马鞍山,118.5087737,31.71317184,商务大厦
"",南京,118.8036983,32.09375041,购物
"",滁州,118.326881,32.2044197,火车站
"",蚌埠,117.384207,32.95012941,火车站
"",宿州,117.0011402,33.64524602,火车站
"",徐州,117.2130531,34.27140509,火车站
"",枣庄,117.3128922,34.7859322,火车站
"",滕州,117.1603371,35.08654534,火车站
"",兖州,116.8474672,35.56163469,火车站
"",泰山,117.1171768,36.19353889,火车站
"",济南,116.9975614,36.67700086,火车站
"",晏城,116.764592,36.81007299,火车站
"",禹城,116.640131,36.93018803,火车站
"",德州,116.2951382,37.45569593,火车站
"",泊头,116.593504,38.06716834,火车站
"",沧州,116.8843347,38.31564487,火车站
"",青县,116.851234,38.56577833,区县
"",静海,116.9367586,38.93845728,火车站
"",天津,117.2158181,39.14157184,火车站
"",唐山,118.1247377,39.63121927,火车站
"",北戴河,119.4265811,39.85700049,火车站
"",山海关,119.7738653,40.00675772,火车站
"",兴城,120.7087033,40.6298759,火车站
"",锦州,121.147585,41.13031082,火车站
"",沟帮子,121.781391,41.3679975,火车站
"",盘锦,122.0684973,41.20388423,火车站
"",西柳,122.6296369,40.85042212,火车站
"",海城,122.7491112,40.86946596,火车站
"",鞍山,122.9923668,41.11886986,火车站
"",辽阳,123.1751641,41.28757537,火车站
"",沈阳,123.3997391,41.80125432,火车站
"",沈阳北,123.442511,41.82578289,火车站
"",葫芦岛,120.8742326,40.76055801,火车站
"",塘沽,117.6490814,39.00793614,区县
"",平原,116.4466071,37.17517811,火车站
"",邹城,116.964862,35.40674844,火车站
"",西安,108.9692133,34.28358862,火车站
"",咸阳,108.7412746,34.35011844,火车站
"",杨陵镇,120.2515503,30.16567767,旅游景点
"",蔡家坡,107.6046014,34.32683116,火车站
"",宝鸡,107.1596202,34.37927357,火车站
"",天水,105.9051409,34.57098113,火车站
"",甘谷,105.3387797,34.76896225,火车站
"",陇西,104.7120595,34.95808477,火车站
"",定西,104.6314332,35.59836825,火车站
"",兰州,103.8577409,36.04058805,火车站
"",武威,102.6301089,37.90992518,火车站
"",金昌,102.0704541,38.37672309,火车站
"",山丹,101.081225,38.81888897,火车站
"",张掖,100.5262826,38.98030928,火车站
"",清水,106.14008,34.7425273,区县
"",酒泉,98.45826044,39.65130771,火车站
"",嘉峪关,98.26111459,39.7709062,火车站
"",低窝铺,97.24953671,40.14852784,火车站
"",疏勒河,96.87623978,40.43671023,火车站
"",柳园,95.51226282,41.11271881,火车站
"",哈密,93.5132678,42.85639131,火车站
"",鄯善,90.50075606,43.09069575,火车站
"",吐鲁番,88.88188987,43.15728961,火车站
"",乌鲁木齐,87.59373765,43.787749,火车站
"",乌西,120.2515503,30.16567767,旅游景点
"",石河子,86.0696748,44.27582507,火车站
"",沙湾县,85.47487407,44.35374463,区县
"",奎屯,84.90686185,44.40972833,火车站
"",商丘,115.6632575,34.44957181,火车站
"",宁陵县,115.2984005,34.4546018,区县
"",民权,115.1468554,34.65064903,火车站
"",兰考,114.8259834,34.82092869,火车站
"",开封,114.359663,34.77764621,火车站
"",郑州,113.6658486,34.75278752,火车站
"",巩义,112.9881073,34.76589697,火车站
"",偃师,112.8009206,34.73514772,火车站
"",洛阳,112.4425535,34.69184213,火车站
"",新安县,112.1277435,34.83760695,区县
"",三门峡,111.2399348,34.76696955,火车站
"",灵宝,110.9045804,34.51598052,火车站
"",永登,103.2798651,36.7262422,火车站
"",临泽,100.1666658,39.16242795,火车站
"",玉门镇,97.03368614,40.28674195,村庄
"",渭南,109.5003718,34.49017326,火车站
"",芦台,117.8516185,39.33551255,火车站
"",昌黎,119.1742467,39.71020294,火车站
"",秦皇岛,119.5989409,39.97095533,火车站
"",绥中,120.3597283,40.32838004,火车站
"",大虎山,122.1539521,41.6200251,火车站
"",新民,122.8239569,42.00774574,火车站
"",四平,124.3797324,43.17387424,火车站
"",八面城,120.2515503,30.16567767,旅游景点
"",郑家屯,123.528097,43.51310722,火车站
"",保康,123.3331643,44.13394907,火车站
"",太平川,123.1913986,44.40517186,火车站
"",开通,123.0836931,44.81108876,火车站
"",洮南,122.8156984,45.34607403,火车站
"",白城,122.8688121,45.6234471,火车站
"",镇赉,123.2017616,45.86359516,火车站
"",泰来,123.4183553,46.39766889,火车站
"",平洋,120.2515503,30.16567767,旅游景点
"",江桥,123.6914527,46.77742912,火车站
"",三间房,123.8489215,47.10483899,火车站
"",齐齐哈尔,123.9872889,47.34769981,城市
"",铁岭,123.8430614,42.29985796,火车站
"",滦县,118.5837773,39.78550885,区县
"",威海,122.1510483,37.43088994,火车站
"",文登,121.9979057,37.1852714,火车站
"",乳山,121.5136314,37.00279512,火车站
"",桃村,121.1488909,37.19532612,火车站
"",莱阳,120.7158865,36.93485287,火车站
"",蓝村,120.1906041,36.40118768,火车站
"",胶州,120.0056531,36.30442021,火车站
"",诸城,119.3964032,36.06937915,火车站
"",五莲,119.2138676,35.81121278,火车站
"",莒县,118.8935851,35.65587496,区县
"",沂水,118.7338078,35.6496517,火车站
"",沂南,118.6264674,35.49330836,火车站
"",临沂北,118.4498216,35.12328559,火车站
"",郯城,118.3841983,34.6079222,火车站
"",新沂,118.3553028,34.3868019,火车站
"",邳州,117.9649244,34.32341199,火车站
"",淮北,116.8096616,33.97304034,火车站
"",涡阳,116.246977,33.49475492,火车站
"",阜阳,115.875038,32.92001115,火车站
"",潢川,115.109173,32.11789539,火车站
"",麻城,114.9695815,31.15274825,火车站
"",汉口,114.2613709,30.62514759,火车站
"",武山,104.9260657,34.72675507,火车站
"",高台,99.79597255,39.27469322,火车站
"",和静,86.37633162,42.3165631,火车站
"",焉耆,86.55152403,42.08267948,火车站
"",库尔勒,86.20137022,41.75303948,火车站
"",聊城,115.9501869,36.46287626,火车站
"",梁山,115.9441565,35.82524873,火车站
"",菏泽,115.5131891,35.23657074,火车站
"",曹县,115.5536007,34.82795277,区县
"",商丘南,115.7102131,34.41459603,火车站
"",武昌,114.3235784,30.53442711,火车站
"",咸宁,114.2952843,29.88563526,火车站
"",赤壁,113.9363796,29.72666112,火车站
"",岳阳,113.1265756,29.38234638,火车站
"",汨罗,113.0822382,28.81967354,火车站
"",长沙,113.0195007,28.2000819,火车站
"",磁窑,120.2515503,30.16567767,旅游景点
"",砀山,116.3368321,34.42245011,火车站
"",洛阳东,112.4927734,34.70243177,火车站
"",三门峡西,121.4882288,29.01774425,区县
"",武威南,102.7441957,37.82150106,火车站
"",太原,112.5933007,37.86653585,长途汽车站
"",榆次,112.7377961,37.70289221,火车站
"",太谷,112.576708,37.42764435,火车站
"",祁县,112.469066,37.29219809,区县
"",平遥,112.1749854,37.21258517,火车站
"",介休,111.9256217,37.02428846,火车站
"",灵石,111.7776358,36.86741669,火车站
"",霍州,111.7261074,36.59216083,火车站
"",洪洞,111.6782267,36.26787066,火车站
"",临汾,111.543408,36.09249384,火车站
"",侯马,111.3648747,35.61945693,火车站
"",稷山,111.0015577,35.61901629,火车站
"",河津,110.7325644,35.59368927,火车站
"",韩城,110.4484239,35.48973103,火车站
"",合阳,110.0978029,35.20089004,火车站
"",张桥,120.2515503,30.16567767,旅游景点
"",新绛,111.2174555,35.61646091,火车站
"",青岛,120.3201884,36.06919575,火车站
"",潍坊,119.104982,36.70290842,火车站
"",青州市,118.4701871,36.68058443,区县
"",淄博,118.0633225,36.79513189,火车站
"",驻马店,114.049113,32.98379578,火车站
"",确山,114.042918,32.80752265,火车站
"",明港,114.0565865,32.47055736,火车站
"",信阳,114.0886593,32.13494771,火车站
"",广水,114.0437138,31.6375311,火车站
"",孝感,113.935944,30.96088834,火车站
"",漯河,114.0493635,33.57668167,火车站
"",许昌,113.8279714,34.02605935,火车站
"",北京西,116.3276942,39.90347316,火车站
"",沙城,115.5223972,40.40282072,火车站
"",宣化,115.0635929,40.6041618,火车站
"",张家口南,114.8896865,40.75768751,火车站
"",柴沟堡,114.4227039,40.67670986,火车站
"",天镇,114.0717881,40.4577642,火车站
"",阳高,113.7462037,40.37182133,火车站
"",大同,113.3095838,40.1262358,火车站
"",丰镇,113.1697459,40.44151256,火车站
"",土贵乌拉,113.2119856,40.79159016,火车站
"",集宁南,113.1057738,41.03613103,UNKNOWN
"",呼和浩特,111.6724456,40.83658722,火车站
"",包头东,110.0305503,40.57633853,火车站
"",包头,109.8425703,40.61193249,火车站
"",临河,107.4357114,40.74974177,火车站
"",五原,108.0561568,40.91722001,火车站
"",乌拉特前旗,109.1052971,40.90599326,区县
"",德安,115.7739811,29.31498869,火车站
"",庐山,115.8883215,29.60356133,火车站
"",蕲春,115.4526162,30.24851889,火车站
"",浠水,115.2489331,30.43865788,火车站
"",黄州,115.0107378,30.59127199,火车站
"",新县,114.8590891,31.64627901,区县
"",淮滨,115.4185635,32.50751343,火车站
"",亳州,115.8042766,33.8539775,火车站
"",清河城,115.6935622,37.07001817,火车站
"",衡水,115.697531,37.75076836,火车站
"",深州,115.6202689,38.01710579,火车站
"",肃宁,115.8582673,38.4199895,火车站
"",霸州,116.3819098,39.12890915,火车站
"",天津北,117.2159983,39.17221138,火车站
"",长春,125.3307696,43.91562245,火车站
"",德惠,125.7237354,44.53901914,火车站
"",扶余,126.0317757,44.99348731,火车站
"",双城堡,126.2993944,45.40168428,火车站
"",哈尔滨,126.6393456,45.76753878,火车站
"",公主岭,124.8183155,43.5153408,火车站
"",任丘,116.1514934,38.70030931,火车站
"",枣强,115.7459378,37.51040147,火车站
"",临清,115.744602,36.8477653,火车站
"",烟台,121.3888014,37.554465,火车站
"",义马,111.9191185,34.72681879,火车站
"",华山,120.2515503,30.16567767,旅游景点
"",虞城县,115.9142249,34.36907193,区县
"",乌海西,106.7447121,39.46112384,火车站
"",乌海,106.811606,39.67637507,火车站
"",巴彦高勒,107.0282915,40.33927117,火车站
"",廊坊,116.7122611,39.51899838,火车站
"",忻州,112.7531748,38.42538707,火车站
"",原平,112.7347283,38.72543937,火车站
"",宁武,112.3255698,39.01322907,火车站
"",朔州,112.4549798,39.32227892,火车站
"",神头,112.5578035,39.36611411,火车站
"",岱岳,112.832543,39.52392567,火车站
"",怀仁,113.1008034,39.83421257,火车站
"",平旺,113.2258694,40.07409686,火车站
"",北京,116.4336486,39.90984037,火车站
"",玉田县,117.7347526,39.81884336,区县
"",唐山北,118.1266952,39.8226641,火车站
"",太原东,112.5924808,37.8911797,火车站
"",潼关,110.2541544,34.54162386,火车站
"",渑池,111.7925669,34.75898711,火车站
"",黄口,116.704229,34.36542759,火车站
"",连云港,119.1697482,34.61536506,火车站
"",连云港东,119.3473317,34.72447519,火车站
"",东海县,118.7923096,34.55638323,区县
"",淮南,117.0258093,32.63696307,火车站
"",巢湖,117.8971091,31.62000047,火车站
"",济宁,116.6078694,35.39853434,火车站
"",嘉祥,116.3650827,35.39829042,火车站
"",巨野,116.0944283,35.38467447,火车站
"",东明县,115.0741146,35.18243546,区县
"",长垣,114.6663745,35.21647869,火车站
"",封丘,114.4876781,35.0403841,区县
"",新乡,113.8661373,35.31195135,火车站
"",焦作,113.2415623,35.22820883,火车站
"",月山,113.0620564,35.21723454,火车站
"",济源,112.5800203,35.11674236,火车站
"",燕山,115.9653015,39.75579304,火车站
"",白涧,115.2955284,39.65251639,火车站
"",涞源,114.718832,39.37807131,火车站
"",灵丘,114.2283556,39.46855543,火车站
"",繁峙,113.2803911,39.17207768,火车站
"",襄汾,111.4487529,35.88610735,火车站
"",赵城,111.7059551,36.38753521,火车站
"",五台山,113.572867,39.27113018,火车站
"",石景山南,116.1845558,39.93886654,区县
"",运城,110.9968754,35.0328285,火车站
"",永济,110.4604394,34.87607251,火车站
"",汝州,112.8340781,34.17576649,火车站
"",平顶山西,113.0540248,33.86166205,火车站
"",南召,112.7473537,33.44554725,火车站
"",南阳,112.5186484,33.00429736,火车站
"",邓州,112.0770683,32.68947106,火车站
"",宜城,112.1898492,31.63607476,火车站
"",当阳,111.8183979,30.85327513,火车站
"",宜昌,111.3054263,30.70759226,火车站
"",代县,113.0505817,39.09319722,区县
"",皇姑屯,123.4011856,41.82038248,火车站
"",开原,124.0386568,42.55214742,火车站
"",昌图,124.1241611,42.78455591,火车站
"",兰棱,126.1958012,45.22630239,火车站
"",王岗,126.5524608,45.67616342,火车站
"",武穴,115.6448025,29.97500501,火车站
"",深圳西,113.9140089,22.53367257,火车站
"",罗山,114.5568985,32.17151688,火车站
"",息县,114.8716818,32.41080817,区县
"",和平,114.9754566,24.46379316,火车站
"",龙南,114.8839867,24.92481819,火车站
"",泰和,114.9558405,26.83781067,火车站
"",高密,119.7744493,36.39910366,火车站
"",济南东,117.034645,36.68732395,火车站
"",本溪,123.7653787,41.30099918,火车站
"",南芬,123.8278801,41.12271622,区县
"",通远堡,123.933334,40.7916716,火车站
"",凤凰城,124.0642613,40.45613093,火车站
"",五龙背,124.281964,40.2654718,火车站
"",丹东,124.3943545,40.13002153,火车站
"",草河口,123.917298,40.88454094,火车站
"",苏家屯,123.4262891,41.58934516,区县
"",福州,119.3261656,26.11881419,火车站
"",闽清,118.9140443,26.21931566,火车站
"",南平南,118.2215967,26.63149936,长途汽车站
"",建瓯,118.3006808,27.02964123,火车站
"",建阳,118.1205719,27.36052396,火车站
"",武夷山,118.0371504,27.73561102,火车站
"",横峰,117.6087763,28.41994547,火车站
"",鹰潭,117.0343591,28.24150394,火车站
"",东乡,116.6336628,28.23297895,火车站
"",桐柏,113.4428419,32.39586676,火车站
"",唐河,112.8578368,32.67261211,火车站
"",镇平,112.2309282,33.05937853,火车站
"",内乡,111.8730039,33.07449834,火车站
"",商南,110.9075071,33.53243434,火车站
"",商洛,110.0252391,33.82762199,火车站
"",丹凤,110.3607777,33.68588156,火车站
"",西峡,111.5182682,33.2767254,火车站
"",成都,104.079818,30.70277056,火车站
"",简阳,104.5594299,30.3848872,火车站
"",资阳,104.6588328,30.13108163,火车站
"",资中,104.8701394,29.77445895,火车站
"",内江,105.0440863,29.59392629,火车站
"",自贡,104.7975505,29.36201857,火车站
"",宜宾,104.6070203,28.75725716,火车站
"",水富,104.4222541,28.61313539,火车站
"",盐津,104.2186738,28.00318564,火车站
"",昭通,103.7980544,27.39168674,火车站
"",草海,104.2615485,26.88575195,火车站
"",六盘水,104.8586006,26.59709213,火车站
"",六枝,105.4711693,26.23204907,火车站
"",安顺,105.9492421,26.23545516,火车站
"",贵阳,106.70959,26.56296765,火车站
"",贵定南,107.1959356,26.3531388,火车站
"",都匀,107.5216923,26.23824996,火车站
"",独山,107.5541463,25.87017842,火车站
"",麻尾,107.4667557,25.32546759,火车站
"",南丹,107.5647055,24.98176965,火车站
"",金城江,108.0716344,24.70517331,火车站
"",宜州,108.6337986,24.48495552,火车站
"",柳州,109.3942,24.31287617,火车站
"",来宾,109.2477299,23.73635427,火车站
"",贵港,109.6197458,23.10479211,火车站
"",玉林,110.1633212,22.60378976,火车站
"",河唇,110.3085603,21.70232425,火车站
"",茂名,110.8544794,21.68685164,火车站
"",肇庆,112.454373,23.08734213,火车站
"",广州东,113.3312177,23.15606643,火车站
"",上海,121.4620958,31.25607113,购物
"",昆山,120.9643693,31.37247401,火车站
"",苏州,120.6173997,31.33510589,长途汽车站
"",无锡,120.3144163,31.59451383,火车站
"",常州,119.9782575,31.79108985,火车站
"",镇江,119.4395124,32.20446906,火车站
"",东光,116.5371751,37.89877917,火车站
"",阜新,121.6438462,41.99314041,火车站
"",清河门,121.4267105,41.78306133,火车站
"",义县,121.3018774,41.53492812,区县
"",八角台,120.2515503,30.16567767,旅游景点
"",丹阳,119.5986398,32.00761593,火车站
"",丰城,115.7969803,28.18902216,火车站
"",樟树,115.5841659,28.08262701,火车站
"",新余,114.9457316,27.81595648,火车站
"",分宜,114.6701131,27.81104735,火车站
"",宜春,114.4436822,27.79585352,火车站
"",萍乡,113.8478188,27.65290221,火车站
"",醴陵,113.5178753,27.67648463,火车站
"",怀化,109.9738799,27.56297624,火车站
"",玉屏,108.9412594,27.24570082,火车站
"",镇远,108.4167294,27.04020184,火车站
"",凯里,107.9828955,26.6089427,火车站
"",贵定,107.2350005,26.58732872,火车站
"",宣威,104.1257831,26.21418583,火车站
"",曲靖,103.7987205,25.53265179,火车站
"",昆明,102.7282902,25.02145791,火车站
"",重庆,106.5539789,29.55602925,火车站
"",綦江,106.6702844,29.02373755,火车站
"",赶水,106.7180206,28.75229288,火车站
"",桐梓,106.8385884,28.13643777,火车站
"",遵义,106.9545666,27.70893811,火车站
"",新化,111.3095001,27.73366191,火车站
"",上饶,118.0132145,28.49638134,火车站
"",绍兴,120.5865577,30.02027588,火车站
"",余姚,121.1674168,30.06050435,火车站
"",宁波,121.5435121,29.86835788,火车站
"",龙游,119.1721083,29.01066714,火车站
"",衢州,118.887732,28.9291521,火车站
"",福泉,107.5429043,26.63114647,火车站
"",施秉,108.1409896,26.92330944,火车站
"",杭州南,120.3013103,30.17954711,火车站
"",嘉兴,120.7699335,30.77029017,长途汽车站
"",上海南,121.4354437,31.15950566,火车站
"",松江,121.2344469,31.00584331,火车站
"",海宁,120.6916394,30.53965979,火车站
"",松滋,111.6134317,30.18004432,火车站
"",石门县,111.0442869,29.80174276,区县
"",张家界,110.4935389,29.11058747,火车站
"",吉首,109.7414765,28.3302437,火车站
"",红果,104.470904,25.72032919,火车站
"",玉山,118.2431325,28.66606546,火车站
"",进贤,116.2526859,28.3603748,火车站
"",阳谷,115.8160295,36.10778909,火车站
"",郓城,115.9081413,35.60752485,火车站
"",银川,106.1809444,38.4979975,火车站
"",青铜峡,105.9383178,37.92466996,火车站
"",中宁,105.6737904,37.56125365,火车站
"",中卫,105.1966102,37.52773081,火车站
"",同心,105.9331381,37.00008011,火车站
"",固原,106.3119983,36.02726764,火车站
"",平凉,106.7141257,35.55687601,火车站
"",随州,113.4236867,31.72799528,火车站
"",英德,113.4462628,24.16470808,火车站
"",耒阳,112.8292347,26.41008618,火车站
"",鲁山,112.9098338,33.75472415,火车站
"",陇县,106.7730643,34.87694134,区县
"",肇东,126.0050997,46.08399518,火车站
"",安达,125.3282325,46.40849705,火车站
"",大庆,125.0183732,46.60471242,火车站
"",让湖路,124.8941449,46.66343004,火车站
"",富拉尔基,123.6529456,47.21644379,火车站
"",龙江,123.1855614,47.33528527,火车站
"",碾子山,122.8898607,47.52207252,火车站
"",扎兰屯,122.7504285,48.02402329,火车站
"",巴林,120.2515503,30.16567767,旅游景点
"",博克图,121.9248832,48.76077923,火车站
"",免渡河,121.0670048,49.09990622,火车站
"",牙克石,120.7441242,49.2866486,火车站
"",大雁,120.5588569,49.23795765,火车站
"",海拉尔,119.7501512,49.23600444,火车站
"",嵯岗,120.2515503,30.16567767,旅游景点
"",扎赉诺尔西,117.7014972,49.47821819,火车站
"",满洲里,117.4569147,49.59115484,火车站
"",郭家店,124.5843454,43.34850927,火车站
"",黄村,116.3380192,39.7265711,火车站
"",台前,115.870028,35.9695323,火车站
"",定陶,115.60238,35.0706513,火车站
"",鄄城,115.6783312,35.4300518,火车站
"",饶阳,115.723506,38.24333103,火车站
"",关林,112.5193216,34.64000993,火车站
"",汉阴,108.5128581,32.88275045,火车站
"",石泉县,108.2505184,33.06531602,区县
"",西乡,107.7674156,33.00071125,火车站
"",汉中,107.0365645,33.0963137,火车站
"",阳平关,106.0440563,32.97237582,火车站
"",广元,105.8277948,32.45653054,火车站
"",江油,104.7761913,31.78811916,火车站
"",绵阳,104.7238149,31.46550022,火车站
"",德阳,104.3964601,31.17224597,火车站
"",临颍,113.926773,33.8122999,火车站
"",汉沽,117.8125035,39.27862217,火车站
"",大营镇,115.7427681,37.32400923,火车站
"",黑山,122.1094135,41.70591739,火车站
"",新立屯,122.1832863,42.02628842,火车站
"",彰武,122.534924,42.39367798,火车站
"",甘旗卡,122.3627541,42.96447634,火车站
"",通辽,122.2774864,43.61146242,火车站
"",大安北,124.2465358,45.52443715,火车站
"",新肇,124.4198571,45.71683165,火车站
"",林源,120.2515503,30.16567767,旅游景点
"",银浪,124.8608615,46.49683488,火车站
"",泰康,124.4541307,46.87727895,火车站
"",涿州,115.9910763,39.48678197,火车站
"",高碑店,115.8652588,39.33449697,火车站
"",保定,115.4864533,38.86917342,火车站
"",定州,114.9793995,38.53623153,火车站
"",石家庄,114.4909803,38.01706724,火车站
"",邢台,114.4987515,37.07595091,火车站
"",邯郸,114.482675,36.60911773,火车站
"",鹤壁,114.2807332,35.76571487,火车站
"",西安南,109.108423,34.09863283,火车站
"",柞水,109.1533317,33.64485794,火车站
"",旬阳北,109.3038257,32.84646261,火车站
"",城固,107.3303914,33.1441119,火车站
"",镇安,109.1760016,33.42706121,火车站
"",安阳,114.3470293,36.11092634,火车站
"",江山,118.650358,28.77766269,火车站
"",慈利,111.1258366,29.42303715,火车站
"",麻阳,109.8094815,27.86171876,火车站
"",海阳,121.0039029,37.08697384,火车站
"",绥化,127.022118,46.65021241,火车站
"",庆安,127.5100198,46.89329661,火车站
"",铁力,128.0601093,46.98072139,火车站
"",朗乡,128.8847566,46.96487146,火车站
"",南岔,129.2869346,47.13921297,火车站
"",汤原,129.9327009,46.75319975,火车站
"",佳木斯,130.3912106,46.80992129,火车站
"",香兰,129.764352,46.65799298,火车站
"",浩良河,129.6448995,46.7347491,火车站
"",带岭,129.0273411,47.02965208,火车站
"",兴隆镇,127.1271974,46.44972935,火车站
"",呼兰,126.6541265,46.00403358,火车站
"",章丘,117.5056125,36.72786979,火车站
"",抚顺北,123.9239411,41.89433992,火车站
"",南杂木,124.4141371,41.97120769,火车站
"",清原,124.9424524,42.11129544,火车站
"",山城镇,125.4394845,42.38506444,火车站
"",梅河口,125.6914144,42.54062751,火车站
"",柳河,125.771738,42.29583582,火车站
"",三源浦,125.766124,42.06216351,火车站
"",通化,125.9867788,41.75941264,火车站
"",颍上,116.3131562,32.74576555,火车站
"",吴桥,116.3925285,37.63359863,火车站
"",陶赖昭,125.9457977,44.83253005,火车站
"",南宫东,115.7021371,37.17584034,火车站
"",庐江,117.18338,31.34680799,购物
"",桐城,116.9850501,31.05650762,火车站
"",安庆,117.0719993,30.5544905,火车站
"",阜南,115.5603548,32.6441489,火车站
"",日照,119.5388792,35.40987592,火车站
"",莒南,118.8537003,35.18887699,火车站
"",临沂,118.3505645,35.04260685,火车站
"",杨柳青,117.0086709,39.14872448,火车站
"",锦州南,121.1307444,41.02195257,火车站
"",台安,122.4371768,41.45218146,火车站
"",阿城,127.0028741,45.55711134,火车站
"",平山,123.6925752,41.24040069,区县
"",尚志,127.9688727,45.21437342,火车站
"",一面坡,128.0871998,45.06855384,火车站
"",苇河,128.3865304,44.95873021,火车站
"",亚布力,128.6216743,44.93477723,火车站
"",横道河子,129.0803365,44.82025035,火车站
"",海林,129.3944375,44.57303594,火车站
"",牡丹江,129.6188841,44.59666517,火车站
"",玉泉,127.1691643,45.42288676,火车站
"",香坊,126.6860829,45.72707099,火车站
"",葫芦岛北,120.7699396,40.7485864,火车站
"",共青城,115.7813198,29.24922288,火车站
"",永修,115.8223849,29.02643887,火车站
"",旗下营,120.2515503,30.16567767,旅游景点
"",卓资山,112.5681327,40.90848071,火车站
"",康庄,115.904779,40.38599697,火车站
"",南口,116.1362582,40.24564104,火车站
"",北京北,116.3591643,39.95205398,火车站
"",昌平北,116.2164564,40.22172355,区县
"",怀柔北,116.6990721,40.41482341,火车站
"",滦平,117.3227843,40.92893831,火车站
"",隆化,117.7578895,41.33462831,火车站
"",四合永,117.8340356,41.80775719,火车站
"",纪家沟,118.1402789,41.93501843,火车站
"",红花沟,118.6415942,42.25043986,火车站
